Pilot Name,Qual
MrChaus,59.756
eedok,60.633
asiy,60.718
uGeLLin,61.718
MGescapades,63.197
TWEECH,64.244
RoflCopter!,64.8
Scully,65.111
Kuzyatron,65.883
Not Sure,65.9
Mayan_Hawk,67.913
MrMan,68.76
ApeX 8==D,69.033
Wormhole FPV,69.307
.MrE.,69.421
DeMic,71.25
jon E5,72.1
Captain Crow,72.299
XaeroFPV,72.687
DreadPool,75.322
RowdyRotor,76.351
SpookyV9,76.693
TeddyTuned,78.241
Lounds,78.467
SilkJamFPV,78.752
Zikefire,79.037
k1tig,80.348
Vici0us,80.394
Madness661,82.279
Pweeen,83.871
kiz,84.313
Derpy Hooves,89.126
boondockstryker,89.167
Charlito,92.943
Sillybutter,95.472
CAVEMAN_,95.578
DoubleDeuce,96.265
188Stretch,112.97
kreyzee,118.07
-BumblebeeFPV-,120.59
Gracana,128.44
BallHawk,140.45
Hyde,145.6
Taco_Rama,146.21
FPVMartin,281.53
