"DiscordId","VdName"
"699811616790937670","DoubleDeuce"
"264255335118667776","eedok"
"780277497123700739","XaeroFPV"
"193720155497299968","kiz"
"821571526549438515","Lounds"
"1272982261263765640","RowdyRotor"
"408491041004584970","DeMic"
"657523378944606252","ApeX 8==D"
"497540960155205643","MrMan"
"906636638489280573","kreyzee"
"879523487012782102","Gracana"
"638294146418868234","Derpy Hooves"
"768983191200989225","Hyde"
"842381583679619082","SilkJamFPV"
"438051782229360642","MGescapades"
"857814941838344203","Not Sure"
"661039289139724307","SpookyV9"
"796451494178193458","FPVMartin"
"781363749436915762","RoflCopter!"
"146080928060538880",".MrE."
"634951176395423754","k1tig"
"116662853611683847","Pweeen"
"821866288678305882","CAVEMAN_"
"236952166668042242","Zikefire"
"210842286785822723","Taco_Rama"
"736673014149546034","Wormhole FPV"
"255189322716676097","Madness661"
"816933930070310912","boondockstryker"
"996401677433323621","BallHawk"
"902006367185940530","Sillybutter"
"413363832736710656","jon E5"
"whoops","MrChaus"
"470258147500490753","Kuzyatron"
"401443721910157315","Mayan_Hawk"
"whoops","Captain Crow"
"535608894639177750","188Stretch"
"405887636088291328","-BumblebeeFPV-"
"409354305443725312","asiy"
"1253161681631318077","Charlito"
"247209085118840833","TeddyTuned"
"989227832704122960","TWEECH"
"yes","Vici0us"
"607701331473465382","DreadPool"
"301180399873425408","uGeLLin"
