"Player Name","Lap Time","Position","Model Name","Country"
"neonfpv","52.868","1","TBS Spec","US"
"NZM","53.663","2","Fox Crooked","TR"
"Gafannen","54.208","3","LightSwitch","SK"
"Glazite23|pricklysticks.com","54.516","4","Fox Crooked","LV"
"TimmyFPV","56.557","5","LightSwitch","SE"
"SP-CHENG GUO","58.530","6","Five33 Switchback","CN"
"OliHawk","58.635","7","Five33 Switchback","FR"
"JuhtiPuhti","59.053","8","TBS Spec","FI"
"MrChaus","59.756","9","TBS Spec","US"
"Blastaa","59.777","10","TBS Spec","US"
"FPV FPV","59.797","11","DinDrones Typhon","NO"
"Chett Mac","60.155","12","TBS Spec","US"
"DYLFPV","60.397","13","LightSwitch","IE"
"eedok","60.633","14","TBS Spec","CA"
"asiy","60.718","15","TBS Spec","US"
"uGeLLin","61.718","16","TBS Spec","US"
"iwandi","61.838","17","TBS Spec","DE"
"LevioFPV","62.094","18","Fox Crooked","FR"
"MGescapades","63.197","19","TBS Spec","US"
"Blastaa","63.358","20","Twig XL 3","US"
"Shturman_NV","63.510","21","Fox Crooked","RU"
"Chett Mac","63.650","22","Twig XL 3","US"
"TWEECH","64.244","23","TBS Spec","US"
"andyy","64.551","24","TBS Spec","US"
"RoflCopter!","64.800","25","TBS Spec","US"
"Scully","65.111","26","TBS Spec","CA"
"Sherco90","65.585","27","Twig XL 3","GB"
"Kuzyatron","65.883","28","Twig XL 3","US"
"Not Sure","65.900","29","TBS Spec","US"
"andyy","66.783","30","Twig XL 3","US"
"uGeLLin","66.959","31","Twig XL 3","US"
"Kuzyatron","67.351","32","TBS Spec","US"
"Mayan_Hawk","67.913","33","TBS Spec","US"
"Hellopanda.","68.000","34","Twig XL 3","SE"
"MrMan","68.760","35","Twig XL 3","US"
"ApeX 8==D","69.033","36","TBS Spec","CA"
"Wesley","69.236","37","Fox Crooked","US"
"Wormhole FPV","69.307","38","TBS Spec","CA"
"TWEECH","69.382","39","Twig XL 3","US"
".MrE.","69.421","40","Twig XL 3","GB"
"spectrex","69.526","41","Twig XL 3","HK"
"Barnyard","69.858","42","TBS Spec","US"
