"Player Name","Lap Time","Position","Model Name","Country","Userid"
"dapaca","51.362","1","Fox Crooked","US","184306"
"TDoge","52.292","2","TBS Oblivion","US","16317"
"MGescapades","54.489","3","LightSwitch","US","232931"
"Hellopanda.","55.996","4","LightSwitch","SE","307684"
"AP3X","57.204","5","Fox Crooked","CA","93660"
"Mathou","59.302","6","Fox Crooked","FR","118302"
"RoflCopter","59.466","7","Fox Crooked","US","118763"
"Not Sure","59.560","8","DinDrones Typhon","US","35589"
"RowdyRotor","59.843","9","LightSwitch","US","325350"
"jon E5","60.697","10","Fox Crooked","US","18914"
"MGescapades","61.351","11","TBS Spec","US","232931"
"Not Sure","61.553","12","TBS Spec","US","35589"
"PixelProp","62.521","13","LightSwitch","US","298924"
"OrigDragon","63.294","14","Fox Crooked","US","10576"
"seajaye","63.379","15","Five33 Switchback","US","113860"
"Snowyeti","63.765","16","Fox Crooked","NO","29717"
"DeMic","64.251","17","Fox Crooked","US","25703"
"IlIIllIlIlIIllII","65.692","18","Five33 Switchback","FR","223627"
"SolaFide","66.341","19","Fox Crooked","US","282598"
"MGescapades","66.828","20","Twig XL 3","US","232931"
"MGescapades","68.035","21","Dreadnought","US","232931"
"DreadPool","68.408","22","Fox Crooked","US","40314"
"TheUnderDog","71.098","23","LightSwitch","SV","253160"
"JHSNFPV","71.131","24","Fox Crooked","ID","297729"
"Hugo So","71.872","25","Fox Crooked","HK","198400"
"MonkayGlands","72.886","26","Fox Crooked","CA","260688"
"Sparkels","73.178","27","Five33 Switchback","US","244676"
"k1tig","73.910","28","Five33 Switchback","US","304901"
"MGescapades","74.021","29","DGI ","US","232931"
"Not Sure","74.484","30","DGI ","US","35589"
"DezziDT","75.890","31","Twig XL 3","US","266614"
"Pweeen","76.112","32","LightSwitch","US","342738"
"SilkJamFPV","76.786","33","DinDrones Typhon","US","162894"
"DezziDT","77.152","34","TBS Spec","US","266614"
"Vitaly AltaiK","77.317","35","Five33 Switchback","RU","93281"
"Not Sure","78.053","36","Tiny Trainer","US","35589"
"Charlito","78.242","37","Fox Crooked","US","337082"
"WizeApe","78.949","38","Fox Crooked","US","70944"
"Chiaki0001","81.769","39","LightSwitch","JP","268724"
"boondockstryker","82.038","40","Twig XL 3","US","282663"
"Old Coot","82.675","41","Five33 Switchback","US","66601"
"Not Sure","83.429","42","Broadsword","US","35589"
"AsgardFPV","84.242","43","LightSwitch","MX","311914"
"Not Sure","85.419","44","Switchback Zero","US","35589"
"Derpy Hooves","87.328","45","Twig XL 3","GB","229310"
"nvy ^  •  ··  •   ^ wyv                       nvy ^   •  ··  •  ^wyv ^   •  ··  •  ^nvy ^  •  ··  •  ^ wyv^  •  ··  •   ^ nvy^  •  ··  •   ^ -wyvern wip3out Anti-Gravity-Rate]|>","87.901","46","Fox Crooked","JP","285795"
"mafa14","88.011","47","Carbix Zero","SI","356666"
"MGescapades","88.249","48","MGPSpec","US","232931"
"jompen","89.149","49","Twig XL 3","US","262817"
"Not Sure","90.170","50","MGPSpec","US","35589"
"Tucas","90.934","51","Fox Crooked","AR","344138"
"boondockstryker","91.864","52","Fox Crooked","US","282663"
"Froomie","94.160","53","Fox Crooked","NO","338922"
"Sillybutter","95.437","54","Tiny Trainer","US","244304"
"boondockstryker","97.672","55","BetaFPV 75x","US","282663"
"Charlito","98.094","56","Tiny Trainer","US","337082"
"jompen","100.193","57","Five33 Switchback","US","262817"
"Kbar","107.236","58","Hummingbird RS","CA","191661"
"BallHawk","107.766","59","LightSwitch","CA","334269"
"-BumblebeeFPV-","109.433","60","Fox Crooked","US","338778"
"MindCrank","111.896","61","MGPSpec","US","311152"
"kazu7543","113.261","62","LightSwitch","JP","230408"
".MrE.","115.393","63","MGPSpec","GB","192935"
"MegawattyFPV","115.394","64","Hummingbird RS","US","291008"
"-BumblebeeFPV-","116.317","65","Tiny Trainer","US","338778"
"Not Sure","122.748","66","Hummingbird RS","US","35589"
"XaeroFPV","128.375","67","Hummingbird RS","AQ","149852"
"Atradies","131.987","68","LightSwitch","US","317890"
"JetDriver","135.571","69","Five33 Switchback","US","350872"
"blaw","138.544","70","LightSwitch","US","245386"
"-=AJ=-","138.801","71","Fox Crooked","DE","11366"
"ItsBlunty","143.741","72","Fox Crooked","US","125031"
"Lounds","159.821","73","Hummingbird RS","US","226309"
"DDT","160.052","74","Tiny Trainer","NK","309203"
"BallHawk","166.232","75","Tiny Trainer","CA","334269"
"RackoonCiTy","274.666","76","DGI ","US","340615"
"f1sh","312.559","77","Five33 Switchback","GB","356915"
